"Test Article Name","Study Conclusion","Trial Result","Microsomal Activation Used",Protocol,"Study View",CASRN,"NTP Study ID"
"4-Nitroanthranilic acid",Positive,Positive,"Induced S9","721150.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/721150.sift)","002-01516-0010-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01516-0010-0000-6)"," 619-17-0",721150
"4-Nitroanthranilic acid",Positive,Equivocal,Nonactivation,"721150.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/721150.sift)","002-01516-0010-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01516-0010-0000-6)"," 619-17-0",721150
"4-Nitroanthranilic acid",Positive,Inconclusive,Nonactivation,"721150.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/721150.sift)","002-01516-0010-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01516-0010-0000-6)"," 619-17-0",721150
4-Nitroquinoline-N-oxide,Positive,Positive,"Induced S9","G23980.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G23980.sift)","002-01519-0003-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01519-0003-0000-1)"," 56-57-5",G23980
4-Nitroquinoline-N-oxide,Positive,Positive,Nonactivation,"G23980.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G23980.sift)","002-01519-0003-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01519-0003-0000-1)"," 56-57-5",G23980
4-Nitroquinoline-N-oxide,Positive,Positive,"Induced S9","G39302.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G39302.sift)","002-01519-0004-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01519-0004-0000-2)"," 56-57-5",G39302
4-Nitroquinoline-N-oxide,Positive,Positive,"Non-Induced S9","G39302.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G39302.sift)","002-01519-0004-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01519-0004-0000-2)"," 56-57-5",G39302
4-Nitroquinoline-N-oxide,Positive,Positive,Nonactivation,"G39302.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G39302.sift)","002-01519-0004-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01519-0004-0000-2)"," 56-57-5",G39302
"4-Vinyl-1-cyclohexene diepoxide",Positive,Positive,Nonactivation,"496867.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/496867.sift)","002-01522-0008-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01522-0008-0000-0)"," 106-87-6",496867
4-Vinylcyclohexene,Positive,Equivocal,"Induced S9","971117.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971117.sift)","002-01523-0009-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01523-0009-0000-2)"," 100-40-3",971117
4-Vinylcyclohexene,Positive,Positive,"Induced S9","971117.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971117.sift)","002-01523-0009-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01523-0009-0000-2)"," 100-40-3",971117
4-Vinylcyclohexene,Positive,Negative,Nonactivation,"971117.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971117.sift)","002-01523-0009-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01523-0009-0000-2)"," 100-40-3",971117
"5,5-Diphenylhydantoin",Negative,Negative,"Induced S9","404495.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/404495.sift)","002-01525-0012-0000-8 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01525-0012-0000-8)"," 57-41-0",404495
"5,5-Diphenylhydantoin",Negative,Negative,Nonactivation,"404495.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/404495.sift)","002-01525-0012-0000-8 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01525-0012-0000-8)"," 57-41-0",404495
4-Acetylaminofluorene,Positive,Positive,"Non-Induced S9","G42545.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G42545.sift)","002-01481-0006-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01481-0006-0000-2)"," 28322-02-3",G42545
4-Acetylaminofluorene,Positive,Rejected,"Non-Induced S9","G42545.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G42545.sift)","002-01481-0006-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01481-0006-0000-2)"," 28322-02-3",G42545
4-Acetylaminofluorene,Positive,"Negative and Non-Toxic",Nonactivation,"G42545.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G42545.sift)","002-01481-0006-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01481-0006-0000-2)"," 28322-02-3",G42545
4-Amino-2-nitrophenol,Positive,Positive,"Induced S9","G61063.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G61063.sift)","002-01482-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01482-0008-0000-5)"," 119-34-6",G61063
4-Amino-2-nitrophenol,Positive,Positive,Nonactivation,"G61063.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G61063.sift)","002-01482-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01482-0008-0000-5)"," 119-34-6",G61063
4-Amino-2-nitrophenol,Positive,Inconclusive,"Induced S9","G81743.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G81743.sift)","002-01482-0009-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01482-0009-0000-6)"," 119-34-6",G81743
4-Amino-2-nitrophenol,Positive,Positive,"Induced S9","G81743.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G81743.sift)","002-01482-0009-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01482-0009-0000-6)"," 119-34-6",G81743
4-Amino-2-nitrophenol,Positive,Positive,Nonactivation,"G81743.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G81743.sift)","002-01482-0009-0000-6 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01482-0009-0000-6)"," 119-34-6",G81743
4-Chloro-2-nitroaniline,Positive,Positive,"Induced S9","971790.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971790.sift)","002-01488-0004-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01488-0004-0000-7)"," 89-63-4",971790
4-Chloro-2-nitroaniline,Positive,Inconclusive,Nonactivation,"971790.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971790.sift)","002-01488-0004-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01488-0004-0000-7)"," 89-63-4",971790
4-Chloro-2-nitroaniline,Positive,Positive,Nonactivation,"971790.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/971790.sift)","002-01488-0004-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01488-0004-0000-7)"," 89-63-4",971790
"4-Chloro-o-toluidine hydrochloride",Positive,Positive,"Induced S9","151592.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/151592.sift)","002-01495-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01495-0009-0000-0)"," 3165-93-3",151592
"4-Chloro-o-toluidine hydrochloride",Positive,Positive,Nonactivation,"151592.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/151592.sift)","002-01495-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01495-0009-0000-0)"," 3165-93-3",151592
"4-Chloro-o-toluidine hydrochloride",Positive,,Nonactivation,"151592.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/151592.sift)","002-01495-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01495-0009-0000-0)"," 3165-93-3",151592
4-Dimethylaminoazobenzene,Positive,Inconclusive,"Induced S9","258568.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/258568.sift)","002-01500-0003-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01500-0003-0000-1)"," 60-11-7",258568
4-Dimethylaminoazobenzene,Positive,Positive,"Induced S9","258568.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/258568.sift)","002-01500-0003-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01500-0003-0000-1)"," 60-11-7",258568
4-Dimethylaminoazobenzene,Positive,"Negative and Non-Toxic",Nonactivation,"258568.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/258568.sift)","002-01500-0003-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01500-0003-0000-1)"," 60-11-7",258568
4-Dimethylaminoazobenzene,Positive,Positive,"Induced S9","451770.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/451770.sift)","002-01500-0004-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01500-0004-0000-2)"," 60-11-7",451770
4-Dimethylaminoazobenzene,Positive,"Negative and Non-Toxic",Nonactivation,"451770.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/451770.sift)","002-01500-0004-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01500-0004-0000-2)"," 60-11-7",451770
4-Hexylresorcinol,Positive,Positive,"Induced S9","356349.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/356349.sift)","002-01502-0011-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01502-0011-0000-2)"," 136-77-6",356349
4-Hexylresorcinol,Positive,Negative,Nonactivation,"356349.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/356349.sift)","002-01502-0011-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01502-0011-0000-2)"," 136-77-6",356349
4-Hydroxyaminoquinoline-1-oxide,Positive,Positive,"Induced S9","G16836.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G16836.sift)","002-01503-0001-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01503-0001-0000-2)"," 4637-56-3",G16836
4-Hydroxyaminoquinoline-1-oxide,Positive,Positive,Nonactivation,"G16836.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G16836.sift)","002-01503-0001-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01503-0001-0000-2)"," 4637-56-3",G16836
Bis(2-ethylhexyl)phthalate,Negative,"Negative and Non-Toxic",Nonactivation,"913224.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/913224.sift)","002-01969-0035-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01969-0035-0000-5)"," 117-81-7",913224
"Bisphenol A",Negative,Negative,"Induced S9","831513.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/831513.sift)","002-01728-0014-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01728-0014-0000-5)"," 80-05-7",831513
"Bisphenol A",Negative,Rejected,"Induced S9","831513.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/831513.sift)","002-01728-0014-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01728-0014-0000-5)"," 80-05-7",831513
"Bisphenol A",Negative,Inconclusive,Nonactivation,"831513.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/831513.sift)","002-01728-0014-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01728-0014-0000-5)"," 80-05-7",831513
"Bisphenol A",Negative,Negative,Nonactivation,"831513.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/831513.sift)","002-01728-0014-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01728-0014-0000-5)"," 80-05-7",831513
"Boric acid",Negative,"Negative and Non-Toxic","Induced S9","621739.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/621739.sift)","002-01736-0012-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01736-0012-0000-2)"," 10043-35-3",621739
"Boric acid",Negative,Inconclusive,Nonactivation,"621739.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/621739.sift)","002-01736-0012-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01736-0012-0000-2)"," 10043-35-3",621739
"Boric acid",Negative,"Negative and Non-Toxic",Nonactivation,"621739.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/621739.sift)","002-01736-0012-0000-2 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01736-0012-0000-2)"," 10043-35-3",621739
Bromodichloromethane,Positive,Positive,"Induced S9","173442.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/173442.sift)","002-01743-0058-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01743-0058-0000-0)"," 75-27-4",173442
Bromodichloromethane,Positive,Negative,Nonactivation,"173442.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/173442.sift)","002-01743-0058-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01743-0058-0000-0)"," 75-27-4",173442
"Butyl benzyl phthalate",Negative,"Negative and Non-Toxic","Induced S9","811311.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/811311.sift)","002-01750-0018-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01750-0018-0000-4)"," 85-68-7",811311
"Butyl benzyl phthalate",Negative,Negative,Nonactivation,"811311.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/811311.sift)","002-01750-0018-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01750-0018-0000-4)"," 85-68-7",811311
"Butyl benzyl phthalate",Negative,Positive,Nonactivation,"811311.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/811311.sift)","002-01750-0018-0000-4 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01750-0018-0000-4)"," 85-68-7",811311
"Butylated hydroxytoluene",Positive,Positive,"Induced S9","441614.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/441614.sift)","002-01756-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01756-0009-0000-0)"," 128-37-0",441614
"Butylated hydroxytoluene",Positive,,"Induced S9","441614.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/441614.sift)","002-01756-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01756-0009-0000-0)"," 128-37-0",441614
"Butylated hydroxytoluene",Positive,Inconclusive,Nonactivation,"441614.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/441614.sift)","002-01756-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01756-0009-0000-0)"," 128-37-0",441614
"Butylated hydroxytoluene",Positive,Negative,Nonactivation,"441614.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/441614.sift)","002-01756-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01756-0009-0000-0)"," 128-37-0",441614
"Butylated hydroxytoluene",Positive,,Nonactivation,"441614.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/441614.sift)","002-01756-0009-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01756-0009-0000-0)"," 128-37-0",441614
"C.I. Acid orange 10",Positive,Inconclusive,"Induced S9","224313.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/224313.sift)","002-01763-0011-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01763-0011-0000-1)"," 1936-15-8",224313
"C.I. Acid orange 10",Positive,Positive,"Induced S9","224313.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/224313.sift)","002-01763-0011-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01763-0011-0000-1)"," 1936-15-8",224313
"C.I. Acid orange 10",Positive,"Negative and Non-Toxic",Nonactivation,"224313.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/224313.sift)","002-01763-0011-0000-1 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01763-0011-0000-1)"," 1936-15-8",224313
"C.I. Acid red 14",Negative,"Negative and Non-Toxic","Induced S9","561870.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/561870.sift)","002-01766-0010-0000-3 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01766-0010-0000-3)"," 3567-69-9",561870
"C.I. Acid red 14",Negative,"Negative and Non-Toxic",Nonactivation,"561870.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/561870.sift)","002-01766-0010-0000-3 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01766-0010-0000-3)"," 3567-69-9",561870
"C.I. Acid yellow 73",Positive,Negative,"Induced S9","099061.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/099061.sift)","002-01768-0006-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01768-0006-0000-0)"," 518-47-8",099061
7-Bromomethyl-12-methylbenz(a)anthracene,Positive,Positive,"Non-Induced S9","G55517.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G55517.sift)","002-01563-0002-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01563-0002-0000-9)"," 16238-56-5",G55517
7-Bromomethyl-12-methylbenz(a)anthracene,Positive,Positive,Nonactivation,"G55517.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/G55517.sift)","002-01563-0002-0000-9 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01563-0002-0000-9)"," 16238-56-5",G55517
8-Hydroxyquinoline,Positive,Positive,Nonactivation,"980523.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/980523.sift)","002-01567-0018-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01567-0018-0000-0)"," 148-24-3",980523
Acetohexamide,Negative,Equivocal,"Induced S9","677347.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/677347.sift)","002-01592-0008-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01592-0008-0000-7)"," 968-81-0",677347
Acetohexamide,Negative,Negative,"Induced S9","677347.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/677347.sift)","002-01592-0008-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01592-0008-0000-7)"," 968-81-0",677347
Acetohexamide,Negative,Equivocal,Nonactivation,"677347.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/677347.sift)","002-01592-0008-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01592-0008-0000-7)"," 968-81-0",677347
Acetohexamide,Negative,Positive,Nonactivation,"677347.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/677347.sift)","002-01592-0008-0000-7 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01592-0008-0000-7)"," 968-81-0",677347
Acrylonitrile,Positive,Positive,Nonactivation,"189387.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/189387.sift)","002-01606-0014-0000-0 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01606-0014-0000-0)"," 107-13-1",189387
Aldicarb,Positive,Positive,"Induced S9","145873.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/145873.sift)","002-01617-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01617-0008-0000-5)"," 116-06-3",145873
Aldicarb,Positive,Negative,Nonactivation,"145873.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/145873.sift)","002-01617-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01617-0008-0000-5)"," 116-06-3",145873
Aldicarb,Positive,Positive,Nonactivation,"145873.sift (ftp://anonftp.niehs.nih.gov/ntp-cebs/datatype/GENETOX_Mouse_Lymphoma_Mammalian_Cell_Mutagenicity/NTP/Legacy_SIFTs/145873.sift)","002-01617-0008-0000-5 (https://manticore.niehs.nih.gov/cebssearch/genetox/002-01617-0008-0000-5)"," 116-06-3",145873
